,N,F0,m,d_ms,d0,v0,prob,collision
213,11.0,-1524.0,1284.0,1000.0,5.0,134.0,0.5,0.0
216,6.0,-3464.0,1490.0,775.0,3.0,96.0,0.5,1.0
218,3.0,-3762.0,1495.0,1345.0,5.0,62.0,0.5,0.0
219,4.0,-643.0,1365.0,924.0,2.0,113.0,0.5,1.0
220,6.0,-2301.0,1555.0,1172.0,2.0,85.0,0.5,1.0
221,8.0,-3030.0,1445.0,836.0,2.0,142.0,0.5,1.0
222,11.0,-1676.0,1385.0,1365.0,4.0,63.0,0.5,0.0
223,7.0,-1274.0,1021.0,995.0,5.0,85.0,0.5,0.0
224,7.0,-659.0,1320.0,1436.0,2.0,66.0,0.5,1.0
226,11.0,-3582.0,1064.0,860.0,2.0,83.0,0.5,1.0
227,10.0,-2336.0,1668.0,892.0,2.0,130.0,0.5,1.0
228,9.0,-1997.0,1481.0,1270.0,2.0,61.0,0.5,1.0
230,3.0,-823.0,1663.0,1245.0,3.0,126.0,0.5,1.0
232,3.0,-3278.0,1754.0,733.0,3.0,116.0,0.5,0.0
233,7.0,-4262.0,1258.0,1152.0,3.0,94.0,0.5,1.0
234,3.0,-849.0,1191.0,795.0,4.0,80.0,0.5,0.0
235,11.0,-1973.0,1836.0,698.0,4.0,84.0,0.5,0.0
236,11.0,-4752.0,1461.0,1128.0,5.0,134.0,0.5,1.0
237,6.0,-4471.0,1923.0,988.0,4.0,117.0,0.5,0.0
239,5.0,-3613.0,1719.0,618.0,5.0,115.0,0.5,0.0
241,4.0,-3684.0,1514.0,1383.0,2.0,81.0,0.5,1.0
242,10.0,-904.0,1087.0,1253.0,3.0,89.0,0.5,0.0
244,10.0,-1693.0,1482.0,1065.0,3.0,142.0,0.5,1.0
247,3.0,-2315.0,1866.0,902.0,3.0,138.0,0.5,0.0
248,7.0,-1603.0,1021.0,1413.0,2.0,138.0,0.5,1.0
250,6.0,-4161.0,1302.0,741.0,2.0,89.0,0.5,1.0
254,6.0,-228.0,1744.0,1112.0,5.0,158.0,0.5,1.0
256,5.0,-4919.0,1627.0,911.0,5.0,84.0,0.5,0.0
257,3.0,-4182.0,1733.0,972.0,3.0,110.0,0.5,1.0
259,4.0,-4672.0,1071.0,727.0,5.0,92.0,0.5,0.0
260,8.0,-2779.0,1541.0,577.0,4.0,119.0,0.5,0.0
265,9.0,-292.0,1246.0,653.0,5.0,96.0,0.5,0.0
266,11.0,-3157.0,1653.0,1390.0,4.0,143.0,0.5,1.0
267,11.0,-3145.0,1815.0,811.0,3.0,113.0,0.5,1.0
268,10.0,-2599.0,1258.0,1194.0,2.0,122.0,0.5,1.0
270,7.0,-3794.0,1206.0,1442.0,3.0,74.0,0.5,0.0
271,3.0,-1534.0,1400.0,1458.0,4.0,82.0,0.5,0.0
274,11.0,-4908.0,1652.0,1408.0,3.0,63.0,0.5,1.0
275,8.0,-2738.0,1596.0,578.0,2.0,61.0,0.5,1.0
278,8.0,-2586.0,1237.0,1252.0,4.0,149.0,0.5,0.0
279,3.0,-414.0,1686.0,1057.0,3.0,107.0,0.5,0.0
280,7.0,-181.0,1143.0,970.0,4.0,77.0,0.5,0.0
281,5.0,-2934.0,1107.0,1245.0,5.0,63.0,0.5,0.0
