if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 > 12.544 and age <= 45.0 then class: 1 | based on 48 samples | coverage 1.89% | error 0.0% | relevance 1.89

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 > 10.805 and age <= 45.0 then class: 1 | based on 46 samples | coverage 1.81% | error 0.0% | relevance 1.81

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 <= 11.648 and x2 <= 11.61 and x1 > 2.755 and age > 45.0 and x1 > 4.939 then class: 0 | based on 42 samples | coverage 1.71% | error 0.0% | relevance 1.71

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 > 11.825 and age <= 27.5 and x1 <= 5.216 then class: 0 | based on 40 samples | coverage 1.63% | error 0.0% | relevance 1.63

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 > 11.825 and age > 27.5 and x1 > 5.629 and age > 45.0 then class: 0 | based on 38 samples | coverage 1.54% | error 0.0% | relevance 1.54

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 > 10.39 and age <= 45.5 then class: 1 | based on 34 samples | coverage 1.34% | error 0.0% | relevance 1.34

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 <= 10.805 and age <= 62.5 and x1 > 4.774 and age > 45.0 and x1 > 5.037 then class: 0 | based on 33 samples | coverage 1.34% | error 0.0% | relevance 1.34

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 > 10.805 and age > 45.0 then class: 0 | based on 33 samples | coverage 1.34% | error 0.0% | relevance 1.34

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 <= 8.437 and age > 29.5 and x1 > 5.099 and age > 45.0 then class: 0 | based on 29 samples | coverage 1.18% | error 0.0% | relevance 1.18

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 > 8.437 and age > 45.0 then class: 0 | based on 29 samples | coverage 1.18% | error 0.0% | relevance 1.18

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 > 12.534 and x2 <= 12.845 and x1 <= 6.819 and age <= 45.0 and x1 <= 4.738 then class: 0 | based on 29 samples | coverage 1.18% | error 0.0% | relevance 1.18

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 <= 3.415 and x2 <= 3.361 and x1 > 10.39 and age > 45.5 then class: 0 | based on 28 samples | coverage 1.14% | error 0.0% | relevance 1.14

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 > 12.534 and x2 <= 12.845 and x1 > 6.819 and age > 43.0 then class: 0 | based on 27 samples | coverage 1.1% | error 0.0% | relevance 1.1

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 > 4.498 and x2 > 4.532 and age <= 65.5 and x1 > 3.859 and age <= 45.0 then class: 1 | based on 26 samples | coverage 1.02% | error 0.0% | relevance 1.02

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 > -0.498 and x1 <= 10.805 and age <= 62.5 and x1 <= 4.774 and age > 45.0 then class: 1 | based on 25 samples | coverage 0.98% | error 0.0% | relevance 0.98

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 > 11.825 and age <= 27.5 and x1 > 5.216 then class: 1 | based on 25 samples | coverage 0.98% | error 0.0% | relevance 0.98

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 <= 11.648 and x2 <= 11.61 and x1 <= 2.755 and age <= 45.0 then class: 0 | based on 25 samples | coverage 1.02% | error 0.0% | relevance 1.02

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 <= 4.389 and x1 <= 8.437 and age <= 29.5 and x1 > 4.935 then class: 1 | based on 24 samples | coverage 0.95% | error 0.0% | relevance 0.95

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 <= -0.646 and x1 <= 5.925 and age > 45.0 and x1 > 5.064 then class: 0 | based on 23 samples | coverage 0.93% | error 0.0% | relevance 0.93

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 > 12.534 and x2 <= 12.845 and x1 <= 6.819 and age > 45.0 and x1 <= 4.669 then class: 1 | based on 17 samples | coverage 0.67% | error 0.0% | relevance 0.67

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 <= 11.648 and x2 <= 11.61 and x1 > 2.755 and age <= 45.0 and x1 <= 4.918 then class: 0 | based on 17 samples | coverage 0.69% | error 0.0% | relevance 0.69

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 <= 1.808 and x1 > -2.87 and x2 <= 1.625 and x2 <= 1.61 and x2 <= 1.6 and x2 <= -0.498 and x2 > -0.646 and x1 <= 5.596 and age > 45.0 then class: 1 | based on 16 samples | coverage 0.63% | error 0.0% | relevance 0.63

