if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age > 65.5 and x1 <= 4.776 then class: 1 | based on 40 samples | coverage 1.62% | error 0.0% | relevance 1.62

if x2 <= 12.957 and x1 <= -2.805 and age > 45.0 then class: 1 | based on 38 samples | coverage 1.54% | error 0.0% | relevance 1.54

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 <= 1.895 and age > 29.5 and x1 > 4.904 and age > 45.0 then class: 0 | based on 36 samples | coverage 1.42% | error 0.0% | relevance 1.42

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 <= 1.11 and x2 <= 1.015 and age > 28.5 and x1 <= 4.973 and age <= 45.0 then class: 0 | based on 33 samples | coverage 1.31% | error 0.0% | relevance 1.31

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 > 1.895 and x2 <= 2.534 and age <= 63.5 and x1 > 4.976 and age <= 45.0 then class: 1 | based on 32 samples | coverage 1.29% | error 0.0% | relevance 1.29

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age > 65.5 and x1 > 4.776 then class: 0 | based on 32 samples | coverage 1.27% | error 0.0% | relevance 1.27

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 > 11.7 and x1 > -2.169 and x2 > 11.769 and x1 <= 12.158 and age <= 65.5 and x1 <= 5.008 and age > 45.0 and x1 <= 4.589 then class: 1 | based on 31 samples | coverage 1.25% | error 0.0% | relevance 1.25

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 > 9.665 and x2 > 9.712 and x2 <= 11.7 and x1 > -2.597 and x1 > 3.676 and age <= 45.0 and x1 <= 4.917 then class: 0 | based on 30 samples | coverage 1.19% | error 0.0% | relevance 1.19

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 > 1.895 and x2 <= 2.534 and age > 63.5 and x1 <= 5.003 then class: 1 | based on 28 samples | coverage 1.13% | error 0.0% | relevance 1.13

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 > 1.895 and x2 <= 2.534 and age > 63.5 and x1 > 5.003 then class: 0 | based on 28 samples | coverage 1.11% | error 0.0% | relevance 1.11

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 > 7.828 and x2 > 7.887 and x2 > 7.999 and x1 > -2.492 and x1 > -2.264 and x1 <= 12.889 and x1 <= 12.748 and x2 <= 9.643 and x1 > -1.952 and x1 <= -0.486 and age > 45.5 then class: 1 | based on 25 samples | coverage 1.01% | error 0.0% | relevance 1.01

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 <= -0.508 and age > 69.5 and x1 > 4.529 then class: 0 | based on 25 samples | coverage 0.99% | error 0.0% | relevance 0.99

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 <= 1.895 and age <= 29.5 and x1 <= 4.958 then class: 0 | based on 23 samples | coverage 0.91% | error 0.0% | relevance 0.91

if x2 <= 12.957 and x1 <= -2.805 and age <= 45.0 then class: 0 | based on 23 samples | coverage 0.91% | error 0.0% | relevance 0.91

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 > 1.384 and x2 <= 2.552 and x2 <= 2.54 and x2 > 1.406 and x2 <= 1.895 and age > 29.5 and x1 <= 4.904 and age > 45.0 then class: 1 | based on 22 samples | coverage 0.89% | error 0.0% | relevance 0.89

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 > 7.828 and x2 > 7.887 and x2 > 7.999 and x1 > -2.492 and x1 > -2.264 and x1 <= 12.889 and x1 <= 12.748 and x2 <= 9.643 and x1 > -1.952 and x1 <= -0.486 and age <= 45.5 then class: 0 | based on 21 samples | coverage 0.83% | error 0.0% | relevance 0.83

